Países,Superficie en km²,Población  [nota 1],IDH[nota 2],,Mandatario (2013),
Brasil,8.547.406,"206,5 (22)","0,730",,Dilma Rousseff
Argentina,2.791.508[nota 3],"42,1 (15)","0,811",,Cristina Fernández de Kirchner
Perú,1.285.240,"31,3 (28)","0,741",,Ollanta Humala
Colombia,1.141.748,"47,7 (36)","0,719",,Juan Manuel Santos
Bolivia,1.098.581,"10,4 (8)","0,675",,Evo Morales
Venezuela,916.445[nota 4],"29,9 (27)","0,748",,Nicolás Maduro
Chile,756.948[nota 5],"17,5 (24)","0,819",,Michelle Bachelet
Paraguay,406.757,7.1 (14),"0,669",,Horacio Cartes
Ecuador,283.560,"15,4 (47)","0,724",,Rafael Correa
Guyana,215.096,"0,7 (3)","0,636",,Donald Ramotar
Uruguay,189.928,"3,4 (19)","0,792",,José Mujica
Surinam,163.458,"0,5 (3)","0,684",,Dési Bouterse
Trinidad y Tobago,5.128,"1,2 (254)","0,760",,Anthony Carmona

Dependencias y otros territorios,
Aruba[nota 6],193,534,0.895,,Mike Eman[nota 7] S.M. Guillermo Alejandro[nota 8]
Bonaire[nota 9],282,35,,,Mark Rutte[nota 10] S.M. Guillermo Alejandro[nota 11]
Curazao[nota 12],444,319,0.890,,Stanley Betrian[nota 13] S.M. Guillermo Alejandro[nota 14]
Guayana Francesa[nota 15],91.300,"0,22 (2)",(10),,Francois Hollande[nota 16]
Islas Malvinas[nota 17],12.718,"0,003 (0,2)",,,Nigel Haywood
Islas Georgias y Sandwich del Sur[nota 17],17.282,(>1)
Total,17.891.900,


